"OBJECTID","GIS_DB_ID","Route","Stop_ID","Direction","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","Latitude","Longitude","Routes_Ser","Weekday_Bo","Weekday_Le","Weekday_Lo","Weekday_Tr","Saturday_B","Saturday_L","Saturday_1","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Loa","Sunday_Tri","Source","School_Rou","GlobalID","year"
14298,"5221256N","52",21256,"N",1,"49TWOOSE","49th St & Woodland Av","City Fall 2015","Bus",39.940866,-75.212759,"52, 64",44,0,143,135,23,0,76,93,33,0,79,83,"APC","No","{F1C9617D-DB58-4710-8BC3-4C940D47BF43}","2015"
14299,"52317N","52",317,"N",2,"WOO50TSW","Woodland Av & 50th St","City Fall 2015","Bus",39.940092,-75.213819,"11, 12, 52",718,82,827,135,400,63,453,93,369,47,430,83,"APC","No","{A6326D2D-FF92-4394-A83B-C2CB7797CC05}","2015"
14300,"5220741N","52",20741,"N",3,"WOO51SSW","Woodland Av & 51st St","City Fall 2015","Bus",39.939222,-75.215075,"11, 52",48,2,878,135,28,1,481,93,18,2,447,83,"APC","No","{86A9EA11-664B-419D-B782-9E4BDB18A308}","2015"
14301,"5220742N","52",20742,"N",4,"WOO52NSW","Woodland Av & 52nd St","City Fall 2015","Bus",39.938439,-75.216219,"11, 52",114,8,985,135,73,2,552,93,81,9,521,83,"APC","No","{DE7EEFE4-5189-423B-809C-3F354433E5FE}","2015"
14302,"5220743N","52",20743,"N",5,"WOO53RSW","Woodland Av & 53rd St","City Fall 2015","Bus",39.937461,-75.21756,"11, 52",76,10,1052,135,46,2,596,93,42,3,561,83,"APC","No","{B82E6E02-CE99-4A66-A5F4-4509A51551EF}","2015"
14303,"5221727N","52",21727,"N",6,"54TWOONW","54th St & Woodland Av - FS","City Fall 2015","Bus",39.93653,-75.219112,"52, WCS, WPA",482,31,1503,135,250,9,837,93,241,20,793,83,"APC","No","{8D431181-B895-400B-901B-A7E120DDDBFE}","2015"
14304,"5221728N","52",21728,"N",7,"54TGRENW","54th St & Greenway Av","City Fall 2015","Bus",39.93738,-75.220113,"52, WCS, WPA",72,11,1564,135,56,5,888,93,42,5,832,83,"APC","No","{5F935723-78A5-45E7-9008-4FB9A714AC86}","2015"
14305,"5221730N","52",21730,"N",8,"54TKISNW","54th St & Kingsessing Av - FS","City Fall 2015","Bus",39.938739,-75.221727,"52, WPA",84,17,1631,135,56,9,935,93,50,6,860,83,"APC","No","{FDE571C7-26CE-4BD9-B755-AC22F1021810}","2015"
14306,"5221257N","52",21257,"N",9,"54TCHENW","54th St & Chester Av","City Fall 2015","Bus",39.93958,-75.222775,"52, WPA",541,80,2105,168,349,39,1245,93,323,36,1147,83,"APC","No","{4A9DD88E-D90E-45FB-BDC5-D8A5E2F9278F}","2015"
14307,"5221257N","52",21257,"N",10,"54TCHENW","54th St & Chester Av","City Fall 2015","Bus",39.93958,-75.222775,"52, WPA",541,80,2105,168,349,39,1245,93,323,36,1147,83,"APC","No","{ED41A81B-6A1B-4782-B3F1-205BFB4251FA}","2015"
14308,"5221257N","52",21257,"N",9,"54TCHENW","54th St & Chester Av","City Fall 2015","Bus",39.93958,-75.222775,"52, WPA",541,80,2105,168,349,39,1245,93,323,36,1147,83,"APC","No","{5DC882E4-5205-4A22-BE46-FE1A8EC8EDE7}","2015"
14309,"5221257N","52",21257,"N",10,"54TCHENW","54th St & Chester Av","City Fall 2015","Bus",39.93958,-75.222775,"52, WPA",541,80,2105,168,349,39,1245,93,323,36,1147,83,"APC","No","{5ECB7E20-C3E5-41C1-8087-3AE58B61D720}","2015"
14310,"5221731N","52",21731,"N",11,"54TSPRNW","54th St & Springfield Av","City Fall 2015","Bus",39.940697,-75.224035,"52, WPA",130,27,2208,168,78,12,1310,93,62,8,1199,83,"APC","No","{13563383-6630-41E4-ABA8-AF0E921752F1}","2015"
14311,"5221732N","52",21732,"N",12,"54TWARNW","54th St & Warrington Av","City Fall 2015","Bus",39.94186,-75.225437,"52, WPA",259,97,2365,168,97,26,1382,93,103,21,1281,83,"APC","No","{E6857DEE-7C00-4941-89C6-98132B502264}","2015"
14312,"5221733N","52",21733,"N",13,"54TFLONW","54th St & Florence Av","City Fall 2015","Bus",39.942951,-75.226685,"52, WPA",269,57,2582,168,121,24,1478,93,110,22,1368,83,"APC","No","{6BB77241-3ECA-478F-9100-9607F945779B}","2015"
14313,"5221734N","52",21734,"N",14,"54TWILNW","54th St & Willows Av","City Fall 2015","Bus",39.94414,-75.228052,"52, WPA",207,51,2739,168,113,30,1562,93,96,23,1441,83,"APC","No","{D71FFF9B-AD3C-431D-A5F2-A19A7CC699B2}","2015"
14314,"5221735N","52",21735,"N",15,"54TWHINW","54th St & Whitby Av","City Fall 2015","Bus",39.945258,-75.229418,"52, WPA",229,48,2921,168,113,35,1639,93,94,31,1504,83,"APC","No","{81E6E796-245F-4866-9CD5-6F2D9AEE1022}","2015"
14315,"5221736N","52",21736,"N",16,"WHI53RNE","Whitby Av & 53rd St","City Fall 2015","Bus",39.94581,-75.228756,"52, WPA",7,19,2909,168,3,6,1636,93,4,12,1495,83,"APC","No","{65E95161-6EF0-44B1-AA68-F3881E2726D8}","2015"
14316,"5225520N","52",25520,"N",17,"WHI52NNE","Whitby Av & 52nd St - MBNS","City Fall 2015","Bus",39.946727,-75.227454,"52, WPA",2,7,2904,168,2,4,1634,93,3,7,1491,83,"APC","No","{881B0BB6-F3D7-4134-BB5E-37E33BADBDA1}","2015"
14317,"52777N","52",777,"N",18,"52NBALNW","52nd St & Baltimore Av","City Fall 2015","Bus",39.947709,-75.227262,"52, WPA",459,152,3200,168,244,81,1799,93,228,54,1665,83,"APC","No","{41748959-6350-4690-B7B4-32AE89036133}","2015"
14318,"5221737N","52",21737,"N",19,"52NCATNO","52nd St & Catherine St - FS","City Fall 2015","Bus",39.949118,-75.227081,"52, WPA",130,26,3306,168,63,16,1846,93,52,12,1705,83,"APC","No","{231D8DD7-D687-49C5-B006-6733248383FE}","2015"
14319,"5221738N","52",21738,"N",20,"52NCEDNO","52nd St & Cedar Av - FS","City Fall 2015","Bus",39.950626,-75.226746,"52, WPA",267,85,3485,168,106,30,1922,93,105,34,1776,83,"APC","No","{3C39BC3E-EB84-4EE2-892C-B4114CA35AD6}","2015"
14320,"5221739N","52",21739,"N",21,"52NLARNO","52nd St & Larchwood Av","City Fall 2015","Bus",39.951929,-75.226483,"52, WPA",153,42,3596,168,66,23,1965,93,57,14,1819,83,"APC","No","{F3990E89-2F72-450D-A894-1BD3E6AAD8E2}","2015"
14321,"5221740N","52",21740,"N",22,"52NPINNO","52nd St & Pine St - FS","City Fall 2015","Bus",39.953695,-75.226124,"52, WPA",130,37,3689,168,51,26,1990,93,43,21,1840,83,"APC","No","{2B5A7344-A01D-46A6-9D6E-C66C9591B94C}","2015"
14322,"5221741N","52",21741,"N",23,"52NSPRNO","52nd St & Spruce St - FS","City Fall 2015","Bus",39.954748,-75.225884,"52, WPA",317,141,3865,168,143,84,2049,93,122,52,1910,83,"APC","No","{181AE10D-6CC4-4EA1-AF37-3C8DA0FBB549}","2015"
14323,"5221742N","52",21742,"N",24,"52NLOCNO","52nd St & Locust St - FS","City Fall 2015","Bus",39.955979,-75.225645,"52, WPA",50,31,3883,168,18,19,2047,93,18,17,1911,83,"APC","No","{60FED10E-6B2A-4DC1-94C5-26591804A804}","2015"
14324,"5221743N","52",21743,"N",25,"52NWALNO","52nd St & Walnut St","City Fall 2015","Bus",39.956854,-75.225453,"52, WPA",228,127,3985,168,115,75,2087,93,78,41,1948,83,"APC","No","{E3D7CA98-2BE9-4C13-A373-5EA49006EB48}","2015"
14325,"523574N","52",3574,"N",26,"52NCHENO","52nd St & Chestnut St","City Fall 2015","Bus",39.958361,-75.225154,"52, WPA",312,252,4040,168,146,110,2122,93,116,76,1988,83,"APC","No","{ACB2CE7B-13EE-4F94-A10A-E41B7DAC1F62}","2015"
14326,"52779N","52",779,"N",27,"52NMARNO","52nd St & Market St","City Fall 2015","Bus",39.959825,-75.224878,"52, WPA",2007,1541,4511,168,950,733,2339,93,845,705,2129,83,"APC","No","{618A20E6-188F-4396-B91B-2C85C157822D}","2015"
14327,"5221744N","52",21744,"N",28,"52NARCNO","52nd St & Arch St - FS","City Fall 2015","Bus",39.961725,-75.224459,"52",106,30,4588,168,68,24,2383,93,70,21,2178,83,"APC","No","{83BC5A62-E8D1-49EC-B4C7-4969059174F4}","2015"
14328,"5221745N","52",21745,"N",29,"52NRACNO","52nd St & Race St","City Fall 2015","Bus",39.962992,-75.224196,"52",66,78,4596,168,55,43,2399,93,32,54,2157,83,"APC","No","{5BE01B3C-B0E0-45EA-BB44-5EA856BFF93E}","2015"
14329,"52780N","52",780,"N",30,"52NHAVNO","52nd St & Haverford Av - FS","City Fall 2015","Bus",39.965197,-75.224591,"52",149,235,4500,168,80,108,2367,93,74,93,2138,83,"APC","No","{9F8EEC7A-2A90-4BD3-9B94-D5B85C82715F}","2015"
14330,"5221746N","52",21746,"N",31,"52NPARNO","52nd St & Parrish St","City Fall 2015","Bus",39.966536,-75.224812,"52",64,114,4457,168,29,49,2352,93,41,61,2118,83,"APC","No","{E708783B-2A86-4DD6-8017-EBAFFD1B171B}","2015"
14331,"5221747N","52",21747,"N",32,"52NWESNO","52nd St & Westminster Av - FS","City Fall 2015","Bus",39.968286,-75.225078,"52",59,170,4345,168,34,112,2273,93,28,101,2045,83,"APC","No","{3D7ACB1B-4742-432A-A306-3A46353B201B}","2015"
14332,"5221748N","52",21748,"N",33,"52NWYANO","52nd St & Wyalusing Av","City Fall 2015","Bus",39.969437,-75.225288,"52",50,95,4297,168,32,44,2261,93,37,58,2024,83,"APC","No","{7F2C6162-62F8-4A52-8C21-4895B4AA1CF6}","2015"
14333,"52781N","52",781,"N",34,"52NGIRNO","52nd St & Girard Av","City Fall 2015","Bus",39.971339,-75.225743,"52",236,575,3952,168,125,300,2086,93,125,282,1869,83,"APC","No","{D37611DD-6E9A-44C1-BECC-C26CC9C337DF}","2015"
14334,"5221749N","52",21749,"N",35,"52NTHONO","52nd St & Thompson St - FS","City Fall 2015","Bus",39.973116,-75.22608,"52",55,173,3839,168,31,92,2025,93,27,99,1799,83,"APC","No","{FF7D8685-63B5-4075-92C7-C7F8CBAF703B}","2015"
14335,"5221750N","52",21750,"N",36,"52NMASNO","52nd St & Master St - FS","City Fall 2015","Bus",39.974401,-75.226301,"52",48,170,3716,168,27,115,1937,93,23,100,1722,83,"APC","No","{A24EDC59-3DDD-4BB1-B6F8-FE62F01D4941}","2015"
14336,"5221751N","52",21751,"N",37,"52NWARNO","52nd St & Warren St - FS","City Fall 2015","Bus",39.976455,-75.226673,"52",61,301,3479,168,26,155,1808,93,26,133,1616,83,"APC","No","{D841EA17-6F85-4F19-8B6F-771250999B07}","2015"
14337,"5221752N","52",21752,"N",38,"52NLANNO","52nd St & Lancaster Av - FS","City Fall 2015","Bus",39.977632,-75.226422,"52",129,200,3408,168,43,145,1706,93,46,106,1556,83,"APC","No","{48FB146C-B980-44B1-928B-89010EF625F6}","2015"
14338,"5231039N","52",31039,"N",39,"PARWESWE","Parkwest Town Center","City Fall 2015","Bus",39.97876,-75.222638,"52",92,356,1234,68,51,233,707,45,32,190,451,26,"APC","No","{20AB67A2-EE21-494D-A013-C6B819049FDA}","2015"
14339,"5225521N","52",25521,"N",40,"52NJEFNE","52nd St & Jefferson St - FS","City Fall 2015","Bus",39.979558,-75.2252,"52",7,237,305,32,0,0,0,0,0,0,0,0,"APC","No","{42912569-8F65-49AF-A469-3C02388DDC28}","2015"
14340,"5221721N","52",21721,"N",41,"52NCOLNE","52nd St & Columbia Av","City Fall 2015","Bus",39.980378,-75.224689,"40, 52",3,13,295,32,0,0,0,0,0,0,0,0,"APC","No","{AFF776FE-0931-4A1B-96D1-F70DD698371E}","2015"
14341,"5221722N","52",21722,"N",42,"52NPARNE","52nd St & Parkside Av","City Fall 2015","Bus",39.98143,-75.224037,"40, 52",0,10,286,32,0,0,0,0,0,0,0,0,"APC","No","{1DA6B241-F942-4D70-B201-68191B0FE883}","2015"
14342,"5221723N","52",21723,"N",43,"PARPAXSE","Parkside Av & Paxon St","City Fall 2015","Bus",39.981143,-75.22262,"40, 52",0,14,272,32,0,0,0,0,0,0,0,0,"APC","No","{865A8A98-D0B3-49AB-BC80-DDD005FD7516}","2015"
