"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7391,"5221256N","52","N",21256,1,"49TWOOSE","49th St & Woodland Av","City","Bus","No","APC Fall 2016",47,0,47,43,0,43,22,0,22,39.940866,-75.212759,"{A1254DB7-3ED8-466E-8351-E945D5980B8E}","2016"
7392,"52317N","52","N",317,2,"WOO50TSW","Woodland Av & 50th St","City","Bus","No","APC Fall 2016",633,83,716,337,41,378,315,43,358,39.940064,-75.213848,"{73F1EC37-D1B2-4E0E-A87A-5F7261494C65}","2016"
7393,"5220741N","52","N",20741,3,"WOO51SSW","Woodland Av & 51st St","City","Bus","No","APC Fall 2016",46,1,47,21,1,22,22,1,23,39.939192,-75.215102,"{02AD7F25-5E89-4EB0-A24C-13A1235D127C}","2016"
7394,"5220742N","52","N",20742,4,"WOO52NSW","Woodland Av & 52nd St","City","Bus","No","APC Fall 2016",92,7,99,71,6,77,44,3,47,39.938408,-75.216214,"{5650590B-3061-4223-87B9-84DD938EC74A}","2016"
7395,"5220743N","52","N",20743,5,"WOO53RSW","Woodland Av & 53rd St","City","Bus","No","APC Fall 2016",60,6,66,36,2,38,24,2,26,39.937438,-75.217598,"{D257D5E0-1F1E-4522-9B21-5179832E3175}","2016"
7396,"5221727N","52","N",21727,6,"54TWOONW","54th St & Woodland Av - FS","City","Bus","No","APC Fall 2016",438,26,464,225,19,244,192,12,204,39.93653,-75.219112,"{4CBFA6FE-EF5F-49E6-978B-E2014A82A383}","2016"
7397,"5221728N","52","N",21728,7,"54TGRENW","54th St & Greenway Av","City","Bus","No","APC Fall 2016",78,11,89,41,4,45,40,7,47,39.93738,-75.220113,"{84E16485-5611-4062-B4C0-0E37BDCA0D4B}","2016"
7398,"5221730N","52","N",21730,8,"54TKISNW","54th St & Kingsessing Av - FS","City","Bus","No","APC Fall 2016",70,12,82,41,6,47,27,5,32,39.938739,-75.221727,"{70697813-EB9F-4139-874B-8E8603EC58FE}","2016"
7399,"5221257N","52","N",21257,9,"54TCHENW","54th St & Chester Av","City","Bus","No","APC Fall 2016",404,75,479,311,43,354,250,34,284,39.93958,-75.222775,"{BB06DC5F-B448-45CE-9018-99D15C528FF0}","2016"
7400,"5221257N","52","N",21257,10,"54TCHENW","54th St & Chester Av","City","Bus","No","APC Fall 2016",404,75,479,311,43,354,250,34,284,39.93958,-75.222775,"{DAD3F002-813E-479E-814F-9A4B436884C1}","2016"
7401,"5221731N","52","N",21731,11,"54TSPRNW","54th St & Springfield Av","City","Bus","No","APC Fall 2016",134,22,156,42,16,58,48,11,59,39.940697,-75.224035,"{50D1A3B8-52A7-4401-99D7-F2C6D94506C6}","2016"
