"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
11989,"5220561S","City","52","Southbound",38,20561,"CITBRYSW","City Av & Bryn Mawr Av","Bus","No",0,NA,"No","APC (UTA)",NA,1,1,2,0,0,0,0,0,0,39.99922,-75.230851,"{48FB23BC-71C5-435E-90C3-AE3B1B74B810}","2018"
11990,"5220589N","City","52","Northbound",59,20589,"54TCITNO","54th St & City Av","Bus","Yes",422,"54ST","No","APC (UTA)",NA,7,65,72,0,0,0,0,0,0,39.99696,-75.235135,"{F2B3138B-A6AE-4376-8CD0-4997930BDD7C}","2018"
11991,"5220591N","City","52","Northbound",56,20591,"CIT54HNE","City Av & 54th St","Bus","Yes",0,"54CLE","No","APC (UTA)",NA,62,442,504,41,334,375,44,257,301,39.996969,-75.235383,"{F2CA5A8B-D310-44BC-A613-FFF3362C52B0}","2018"
11992,"5220592N","City","52","Northbound",63,20592,"CIT52NNE","City Av & 52nd St","Bus","No",0,NA,"No","APC (UTA)",NA,0,1,1,0,0,0,0,0,0,39.997965,-75.233289,"{3C7B4457-1A7D-4757-9E15-D8F4605AB6C4}","2018"
11993,"5220741N","City","52","Northbound",3,20741,"WOO51SSW","Woodland Av & 51st St","Bus","No",0,NA,"No","APC (UTA)",NA,35,4,40,29,7,36,22,3,25,39.939192,-75.215102,"{149A6A5E-B4B1-4245-ACC0-9AA88AE5F426}","2018"
11994,"5220742N","City","52","Northbound",4,20742,"WOO52NSW","Woodland Av & 52nd St","Bus","No",0,NA,"No","APC (UTA)",NA,80,13,93,54,8,62,54,5,58,39.938408,-75.216214,"{2911108C-A47A-405A-A923-200563EBA370}","2018"
11995,"5220743N","City","52","Northbound",5,20743,"WOO53RSW","Woodland Av & 53rd St","Bus","No",0,NA,"No","APC (UTA)",NA,63,9,72,45,6,51,30,3,33,39.937438,-75.217598,"{020989CA-6FAC-44A9-9C91-91FB725E465E}","2018"
11996,"5221256N","City","52","Northbound",1,21256,"49TWOOSE","49th St & Woodland Av","Bus","Yes",187,"49WO","No","APC (UTA)",NA,78,0,78,47,0,47,51,0,51,39.940866,-75.212759,"{63E5B05A-7A8C-4BF9-8A41-BE53B5E1BCDB}","2018"
11997,"5221256S","City","52","Southbound",95,21256,"49TWOOSE","49th St & Woodland Av","Bus","Yes",187,"49WO","No","APC (UTA)",NA,0,465,465,0,303,303,0,205,205,39.940866,-75.212759,"{059DA34C-D15D-4A0B-A474-4DF6ACD43904}","2018"
11998,"5221257N","City","52","Northbound",10,21257,"54TCHENW","54th St & Chester Av","Bus","Yes",0,"54CH","No","APC (UTA)",NA,461,76,538,265,41,306,192,56,249,39.93958,-75.222775,"{D6A9B918-87EC-4080-97F6-CB11E3663F30}","2018"
11999,"5221257S","City","52","Southbound",87,21257,"54TCHENW","54th St & Chester Av","Bus","Yes",472,"54CH","No","APC (UTA)",NA,0,251,251,0,0,0,0,0,0,39.93958,-75.222775,"{9EEACCA6-D86E-4A26-AE88-9C85E5BFF704}","2018"
12000,"5221652S","City","52","Southbound",2,21652,"BLACONNE","Black Rock Rd & Conshohocken State","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,1,0,0,0,0,0,0,40.03954,-75.279853,"{AC862012-7BE4-40EA-A36F-76DEE3BB08EA}","2018"
12001,"5221653S","City","52","Southbound",3,21653,"CONMAPSE","Conshohocken State Rd & Maplecrest","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.037164,-75.277908,"{57B3C34A-B045-443D-9396-930D36C3E3A9}","2018"
12002,"5221656S","City","52","Southbound",5,21656,"HOLCONNE","Hollow Rd & Conshohocken State - FS","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.031165,-75.262824,"{98C2AB94-987D-47EA-8743-E632E436121A}","2018"
12003,"5221658N","City","52","Northbound",85,21658,"HAGBOBNW","Hagys Ford Rd & Bobarn Rd - FS","Bus","No",0,NA,"No","APC (UTA)",NA,0,1,1,0,0,0,0,0,0,40.035042,-75.259079,"{E7BD1885-7197-4546-AD4F-E5F2A12DCBA1}","2018"
12004,"5221658S","City","52","Southbound",6,21658,"HAGBOBNW","Hagys Ford Rd & Bobarn Rd - FS","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.035042,-75.259079,"{5B9C32CD-4FAB-4DDC-82F1-98A3E807937E}","2018"
12005,"5221663N","City","52","Northbound",95,21663,"HAGBOBSE","Hagys Ford Rd & Bobarn Dr","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.034927,-75.259268,"{E3E58BB6-9D21-4DF5-A84F-84CB25080A68}","2018"
12006,"5221663S","City","52","Southbound",16,21663,"HAGBOBSE","Hagys Ford Rd & Bobarn Dr","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.034927,-75.259268,"{40D81041-BCF2-4419-B2AF-8A0E08B1250A}","2018"
