"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Saturday_B","Saturday_L","Sunday_Boa","Sunday_Lea","Latitude","Longitude","GlobalID","year"
21994,"5221720S","City","52","Southbound",93,21720,"GRE50TNE","Greenway Av & 50th St","Bus","No",0,NA,"No","APC (InfoDev)",NA,2,43,2,27,0,24,39.940959,-75.215132,"{50101E0E-6E45-4825-B01E-010AB7D4F65F}","2019"
18218,"5221748N","City","52","Northbound",33,21748,"52NWYANO","52nd St & Wyalusing Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,49,109,26,54,23,50,39.969678,-75.225358,"{810B3A37-83EE-4E23-9AF6-0163D85D93CA}","2019"
8010,"5230129N","City","52","Northbound",65,30129,"BALCITNW","Bala Av & City Av - FS","Bus","Yes",423,"BCAV","No","APC (InfoDev)",NA,3,8,0,0,0,0,40.000466,-75.22891,"{F348AF60-5D2C-455F-A4F5-01B4A01168B5}","2019"
6414,"5229575S","City","52","Southbound",15,29575,"HAGBOASE","Hagys Ford Rd & Bobarn Dr - MBNS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.036257,-75.259596,"{DE9A8ACE-86C7-41DC-81CA-038ABF6BC726}","2019"
12401,"5221732N","City","52","Northbound",12,21732,"54TWARNW","54th St & Warrington Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,206,84,83,13,69,14,39.94186,-75.225437,"{9CC77A79-3600-4EA1-9E83-04AD50EC01A3}","2019"
14382,"5225982S","City","52","Southbound",50,25982,"JEF53RSE","Jefferson St & 53rd St","Bus","No",0,NA,"No","APC (InfoDev)",NA,57,12,22,11,12,5,39.980438,-75.228269,"{362B582C-8D67-4671-96F9-05E6CFDC6754}","2019"
16534,"5221736N","City","52","Northbound",16,21736,"WHI53RNE","Whitby Av & 53rd St","Bus","No",0,NA,"No","APC (InfoDev)",NA,120,44,65,28,31,8,39.94581,-75.228756,"{4951474A-927B-487E-92E0-07236E10ED79}","2019"
20351,"5221686S","City","52","Southbound",44,21686,"54TGAISO","54th St & Gainor Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,70,14,37,2,29,1,39.988995,-75.23303,"{B0C1B6FF-8092-4C6B-A0DD-07BD0A3A8F83}","2019"
21905,"5221678S","City","52","Southbound",30,21678,"CONLEVSE","Conshohocken State Rd & LeveringMil","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.013473,-75.236201,"{18324621-C8A4-4995-AE2E-07CF5CF09726}","2019"
8572,"5229573N","City","52","Northbound",92,29573,"OAKOAKWE","Oakwood Dr & Oakwood Ter","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,1,0,0,0,0,40.038994,-75.257508,"{2E28C4D7-0D17-4289-A9CC-0C1C06EA992C}","2019"
2192,"5221761N","City","52","Northbound",49,21761,"54TCOLNW","54th St & Columbia Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,11,64,11,31,7,34,39.982414,-75.230602,"{C8ECCB60-EFBC-4224-A4F2-0E19C24F4254}","2019"
4952,"5220592N","City","52","Northbound",63,20592,"CIT52NNE","City Av & 52nd St","Bus","No",0,NA,"No","APC (InfoDev)",NA,1,5,0,0,0,0,39.997965,-75.233289,"{488CF80E-8491-4A6D-8176-0E238FE31A00}","2019"
8602,"5229568N","City","52","Northbound",69,29568,"CONBAANO","Conshohocken State Rd & Bala Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.007452,-75.232613,"{9082E11B-BA62-4BA6-8C51-13491ADCF524}","2019"
4096,"5221702S","City","52","Southbound",72,21702,"52NWALSO","52nd St & Walnut St","Bus","No",0,NA,"No","APC (InfoDev)",NA,267,266,154,142,92,101,39.957059,-75.225571,"{E214DBD1-8B99-4D0B-A15D-155DD998C031}","2019"
7821,"5221257N","City","52","Northbound",10,21257,"54TCHENW","54th St & Chester Av","Bus","Yes",0,"54CH","No","APC (InfoDev)",NA,401,51,264,41,179,22,39.93958,-75.222775,"{5DCDE3C8-6C9B-42C2-AE40-16EDAC2297CD}","2019"
14876,"5221740N","City","52","Northbound",22,21740,"52NPINNO","52nd St & Pine St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,151,55,62,31,44,21,39.953695,-75.226124,"{F0C8077F-029B-4DCA-BB76-171FED7701D8}","2019"
2698,"5221760N","City","52","Northbound",48,21760,"54TOXFNW","54th St & Oxford St","Bus","No",0,NA,"No","APC (InfoDev)",NA,12,28,6,19,5,19,39.981467,-75.229967,"{FB07B808-912D-41F2-9F7D-178BBBA3DF6F}","2019"
7974,"5221731N","City","52","Northbound",11,21731,"54TSPRNW","54th St & Springfield Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,138,20,62,13,56,13,39.940697,-75.224035,"{171CF41D-F4FC-4E4D-B605-17DADE61F74C}","2019"
20153,"526232N","City","52","Northbound",64,6232,"CITBRYNE","City Av & Bryn Mawr Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,2,4,0,0,0,0,39.999024,-75.231017,"{AB576DE1-7233-4F91-83FE-1842110B3EA2}","2019"
8365,"5229572N","City","52","Northbound",88,29572,"OAKOAKEA","Oakwood Dr & Oakwood Ter - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.038869,-75.257485,"{1702A94A-5F17-4995-ADE0-185C59EEFB12}","2019"
14428,"5221796N","City","52","Northbound",84,21796,"HAGHOLNW","Hagys Ford Rd & Hollow Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,1,0,0,0,0,40.034185,-75.258679,"{15085BE4-5FBE-4569-8109-1B966DDB88A5}","2019"
5540,"5221791N","City","52","Northbound",81,21791,"HAGFL1NW","Hagys Ford Rd & Flat Rock Rd - MBNS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,1,0,0,0,0,40.029179,-75.252839,"{DCE9B6B1-311D-494A-AB68-1BF92B5A42C3}","2019"
9448,"5230137S","City","52","Southbound",4,30137,"CONMILSE","Conshohocken State Rd & Mill Creek","Bus","No",0,NA,"No","APC (InfoDev)",NA,1,0,0,0,0,0,40.031307,-75.269408,"{EFDF4B50-622B-4441-8BDC-1D431EF99467}","2019"
21650,"5221769N","City","52","Northbound",66,21769,"BALUNINW","Bala Av & Union Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,1,0,0,0,0,40.003103,-75.231041,"{5947EF43-AF42-42C3-835B-1FB67FF644EF}","2019"
10552,"5229569N","City","52","Northbound",80,29569,"HAGTOENE","Hagys Ford Rd & Tower Ln - MBFS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.027395,-75.253434,"{7F0FAF17-C3F5-467B-BBC4-20F7CFCD2951}","2019"
9539,"5230134S","City","52","Southbound",12,30134,"OAKOAWSW","Oakwood Dr & Oakwood Ter - MBNS","Bus","No",0,NA,"No","APC (InfoDev)",NA,1,0,0,0,0,0,40.039528,-75.256159,"{7357DC65-01A3-421B-99A2-261ED1598CBE}","2019"
16488,"5221257S","City","52","Southbound",87,21257,"54TCHENW","54th St & Chester Av","Bus","Yes",472,"54CH","No","APC (InfoDev)",NA,0,124,0,0,0,0,39.93958,-75.222775,"{2CE7BEF8-78EE-4EBC-A5E1-27119C11B5C9}","2019"
12001,"5221689S","City","52","Southbound",48,21689,"54TUPLSO","54th St & Upland Way","Bus","No",0,NA,"No","APC (InfoDev)",NA,65,9,50,8,41,7,39.982575,-75.230826,"{F5D05DF3-E8AD-4040-8022-2746771E5ECB}","2019"
13111,"5221739N","City","52","Northbound",21,21739,"52NLARNO","52nd St & Larchwood Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,130,44,64,19,38,15,39.951929,-75.226483,"{6797D499-80A4-4AE5-B18B-2869DEC6F357}","2019"
7376,"5231039S","City","52","Southbound",58,31039,"PARWESWE","Parkwest Town Center","Bus","Yes",2094,"PAWE","No","APC (InfoDev)",NA,275,51,167,32,92,24,39.978715,-75.222733,"{427E0A90-70C7-4088-8F17-2BA04266E6E6}","2019"
8773,"5221725N","City","52","Northbound",43,21725,"PAR50TSE","Parkside Av & 50th St","Bus","Yes",0,"49PS","No","APC (InfoDev)",NA,3,46,0,0,0,0,39.979923,-75.219422,"{7366FD9B-F7D1-444C-B911-2C6EBBAA0425}","2019"
9473,"5221703S","City","52","Southbound",73,21703,"52NLOCSO","52nd St & Locust St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,97,151,41,73,41,56,39.955569,-75.225906,"{B8AC1AC8-F572-4BAE-A422-2CB720EA19D7}","2019"
3077,"5221735N","City","52","Northbound",15,21735,"54TWHINW","54th St & Whitby Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,121,27,75,19,79,16,39.945258,-75.229418,"{A6F2E841-992D-4CF7-832E-2E855691F8EE}","2019"
13064,"5221658S","City","52","Southbound",6,21658,"HAGBOBNW","Hagys Ford Rd & Bobarn Rd - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.035042,-75.259079,"{8C0D3669-3A1D-4155-AB51-2EEC092E7519}","2019"
4132,"5221744N","City","52","Northbound",28,21744,"52NARCNO","52nd St & Arch St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,224,150,99,62,95,77,39.961725,-75.224459,"{D43E81B9-70AE-423E-934D-31D2DABA8145}","2019"
